client_id,gender,age_1996,account_age_days,freq_POPLATEK PO OBRATU,freq_POPLATEK TYDNE,txn_count_1996,incoming_total_1996,outgoing_total_1996,avg_txn_1996,max_txn_1996,min_txn_1996,k_pojistne_count_1996,k_sipo_count_1996,k_sluzby_count_1996,k_urok_count_1996,k_sankc_urok_count_1996,k_duchod_count_1996,k_uver_count_1996,op_vyber_kartou_count_1996,op_vklad_count_1996,op_prevod_z_uctu_count_1996,op_vyber_count_1996,op_prevod_na_ucet_count_1996,avg_balance_1996,max_balance_1996,min_balance_1996,std_balance_1996,recency_1996,order_count,order_amount_total,po_pojistne_count,po_sipo_count,po_leasing_count,po_uver_count,has_previous_loan,previous_loan_amount_total,previous_loan_problem,loan_granted_1996,has_card_pre_1997,card_count_pre_1997,card_issued_1996,ending_balance_1996,op_type_diversity_1996,k_symbol_diversity_1996,n_accounts,ratio_credit_to_debit_1996,ratio_incoming_total_1996,ratio_outgoing_total_1996,avg_txn_norm_1996,po_type_diversity_1996,dv_loan_1997,dv_card_1997
1,1,26,648.0,0.0,0.0,74,50066.0,55579.2,1427.6378378378379,3700.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,5.0,12.0,33,12.0,15980.927027027028,20525.5,11127.5,2172.1060615327237,0,1.0,2452.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12674.5,4.0,3.0,1,0.9008046175547687,0.4739070019272054,0.5260929980727946,19.292403214024837,1,0,0
2,2,51,1404.0,0.0,0.0,85,288542.9,202067.2,6624.907058823529,30354.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,5.0,12.0,44,12.0,36604.40235294118,61002.0,14025.8,11764.815403323595,0,2.0,10638.7,0.0,1.0,0.0,1.0,1.0,80952.0,0.0,0.0,0.0,0.0,0.0,53405.5,4.0,3.0,1,1.4279551555126215,0.588130778392047,0.41186922160795303,77.9400830449827,2,0,0
8,1,58,826.0,0.0,0.0,63,81507.7,81803.2,2592.2365079365077,11600.0,14.6,0.0,12.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,27,12.0,30651.373015873014,39833.7,20377.3,4377.6510640357865,0,1.0,3954.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33523.8,3.0,4.0,1,0.9963876718759168,0.49909528390327895,0.500904716096721,41.14661123708742,1,0,0
10,2,53,467.0,0.0,0.0,75,268773.2,274432.6,7242.744000000001,30712.0,14.6,0.0,11.0,11.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,30,21.0,51659.79066666667,75952.3,33280.8,9428.253022771403,0,2.0,9324.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42034.2,3.0,4.0,1,0.9793778144433279,0.49479074045232946,0.5052092595476704,96.56992000000001,1,0,0
12,2,15,1434.0,0.0,0.0,66,28722.2,74625.2,1565.8696969696969,23500.0,14.6,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,16.0,0.0,38,0.0,32454.586363636365,77638.4,22404.6,11276.965266375604,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32849.8,2.0,2.0,1,0.38488607065709707,0.2779189413570153,0.7220810586429848,23.7252984389348,0,0,0
14,1,54,448.0,0.0,0.0,49,42935.9,24872.6,1383.8469387755101,3494.0,14.6,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,14,11.0,22850.185714285715,31304.6,14317.8,4656.36559006414,0,1.0,2132.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28901.6,3.0,2.0,1,1.726232882770599,0.6331934786936741,0.3668065213063259,28.241774260724696,1,0,0
20,2,18,1186.0,0.0,0.0,74,223791.7,233379.2,6177.985135135135,25598.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,38,12.0,39431.26081081081,62205.6,25041.0,9312.310193352147,0,1.0,3072.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33578.9,3.0,3.0,1,0.9589187896779148,0.4895143151062327,0.5104856848937673,83.48628560993426,1,0,0
24,1,57,1315.0,0.0,1.0,63,238878.2,143460.0,7691.971428571429,46500.0,30.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,17.0,0.0,34,0.0,29799.51746031746,60490.9,6614.2,13199.741721184568,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26769.0,2.0,2.0,1,1.6651205911055347,0.6247824569974959,0.37521754300250404,122.09478458049887,0,0,0
25,1,57,634.0,0.0,0.0,90,220613.9,223593.1,4978.811111111111,22708.0,0.9,0.0,12.0,12.0,24.0,2.0,0.0,5.0,0.0,10.0,12.0,39,5.0,20349.385555555556,42591.4,715.0,8409.095283466482,0,1.0,2523.2,0.0,0.0,0.0,1.0,1.0,30276.0,1.0,1.0,0.0,0.0,0.0,17951.5,4.0,5.0,1,0.9866757963461305,0.4966466084505647,0.5033533915494353,55.32012345679012,1,0,0
28,2,51,1014.0,0.0,0.0,68,228568.0,201599.2,6325.988235294118,27600.0,14.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,14.0,0.0,30,12.0,43384.004411764705,68159.8,23037.4,10526.12714087195,0,1.0,6352.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66615.1,3.0,3.0,1,1.1337743403743665,0.5313468809337393,0.4686531190662608,93.02923875432526,1,0,0
